# EIS synthetic data (European format)
# Delimiter: semicolon, Decimal: comma
# Units: frequency [Hz], impedance [Ohm]
# Circuit: Rs - (R0||Q0) - (R1||Q1)
# Parameters: Rs=10, R0=1e5, Q0=(1e-6, 0.6), R1=8e5, Q1=(3e-5, 0.43)
# Noise: 1%
frequency;Z_real;Z_imag
0,01;181371,1928;-53513,6667
0,0116591;175123,3231;-54037,0950
0,0135936;171747,7654;-51294,1582
0,0158489;168702,8073;-49400,9617
0,0184785;161382,9950;-50146,9788
0,0215443;157333,6553;-44726,2054
0,0251189;156392,2078;-42479,3760
0,0292864;151418,5212;-36759,9761
0,0341455;146051,5647;-39026,7929
0,0398107;144281,4456;-36553,0886
0,0464159;139680,7633;-35437,5567
0,054117;136714,6499;-35549,4842
0,0630957;134866,3597;-30942,5448
0,0735642;129220,9551;-30252,5127
0,0857696;126917,4602;-29085,5516
0,1;125967,8660;-30296,6088
0,116591;122989,0551;-26419,9086
0,135936;122330,0045;-29165,1461
0,158489;118546,2836;-26009,4674
0,184785;115736,1256;-23518,0255
0,215443;116983,4640;-26853,8174
0,251189;112838,9558;-25975,2680
0,292864;111043,9829;-24941,4915
0,341455;107250,1353;-25450,8787
0,398107;106113,8207;-26515,6907
0,464159;104683,0321;-24760,9032
0,54117;101177,4000;-26056,2775
0,630957;100566,8570;-24628,0632
0,735642;97311,1373;-26298,5177
0,857696;95311,1990;-24148,0135
1;92631,0910;-26806,8841
1,16591;92502,0965;-26761,5118
1,35936;88193,9367;-26144,5422
1,58489;84623,9361;-28454,0246
1,84785;83570,3780;-27604,1741
2,15443;79001,7004;-27133,9420
2,51189;77307,0647;-29976,2025
2,92864;72587,8991;-28870,1095
3,41455;70063,5104;-29118,7015
3,98107;68101,3232;-28963,5446
4,64159;65299,7734;-30558,0746
5,4117;61672,3583;-30611,4195
6,30957;58242,5412;-29289,0170
7,35642;54893,8800;-29250,0247
8,57696;50987,2158;-28972,3352
10;48285,9684;-28492,6331
11,6591;45333,2587;-28504,7067
13,5936;43082,2688;-27366,2799
15,8489;39774,0730;-26587,9243
18,4785;35990,5978;-26205,0013
21,5443;34216,6271;-24175,5469
25,1189;31354,9302;-23793,9789
29,2864;28822,2664;-23392,4289
34,1455;26991,8034;-21659,1114
39,8107;24962,8657;-21114,0666
46,4159;22902,3292;-19468,3018
54,117;20521,0267;-18288,1107
63,0957;18942,5421;-17741,9713
73,5642;17499,7539;-16237,7151
85,7696;16158,7888;-15343,5427
100;14483,4468;-14266,1951
116,591;13296,4751;-13112,8285
135,936;11991,3112;-12593,8231
158,489;10941,1636;-11794,4491
184,785;10293,2971;-10971,8688
215,443;9478,8631;-10163,5600
251,189;8480,6300;-9319,2893
292,864;7872,1845;-8572,6515
341,455;7124,4864;-7929,2765
398,107;6411,3525;-7266,9775
464,159;5949,1346;-6777,1478
541,17;5534,6711;-6127,9066
630,957;4940,4367;-5775,2952
735,642;4628,3805;-5108,5621
857,696;3965,3775;-4834,3736
1000;3828,1762;-4532,6100
1165,91;3462,6763;-4177,6222
1359,36;3149,3338;-3761,6559
1584,89;2899,9171;-3486,9344
1847,85;2568,2876;-3162,7097
2154,43;2418,6433;-2912,2972
2511,89;2235,0662;-2691,6518
2928,64;2083,1389;-2494,3206
3414,55;1850,0151;-2307,6604
3981,07;1687,5000;-2087,7642
4641,59;1554,2791;-1882,4292
5411,7;1456,9603;-1740,5647
6309,57;1323,8436;-1626,0596
7356,42;1197,8932;-1463,7382
8576,96;1117,1179;-1338,1016
10000;1018,4147;-1246,8438
11659,1;947,4900;-1127,6708
13593,6;847,3601;-1034,8908
15848,9;782,7205;-963,3630
18478,5;718,1937;-866,0276
21544,3;648,7075;-791,6711
25118,9;612,9127;-720,6608
29286,4;563,0855;-660,8123
34145,5;515,6830;-625,2174
39810,7;472,5272;-569,9005
46415,9;426,7537;-512,6313
54117;398,9337;-469,9683
63095,7;367,7076;-430,8666
73564,2;336,2244;-377,5759
85769,6;312,8358;-361,9670
100000;290,8034;-329,4285
